precinct_number,candidate_name,votes
1165,Касым-Жомарт Токаев,1250
1165,Марат Нурланов,980
1165,Айгуль Сейтжанова,750
1165,Бауыржан Калымбетов,620
1165,Жанар Айтбаева,580
1165,Против всех,420
1166,Касым-Жомарт Токаев,1180
1166,Марат Нурланов,1020
1166,Айгуль Сейтжанова,800
1166,Бауыржан Калымбетов,670
1166,Жанар Айтбаева,540
1166,Против всех,390
1167,Касым-Жомарт Токаев,1320
1167,Марат Нурланов,890
1167,Айгуль Сейтжанова,720
1167,Бауыржан Калымбетов,610
1167,Жанар Айтбаева,595
1167,Против всех,465
